date,pcrvi,pcrvi_base,ta_norm,as_norm,sr_norm,cdr_norm,bh_norm,wq_norm,la_norm,ev_score,ev_amplification,sst_sigma_departure,sst_rolling_sd_30d,sst_variability_amp,sst_exceed_2sd,sst_exceed_3sd,dhw_rolling_sd_rate,chl_sigma_departure,kd490_sigma_departure,cloud_sigma_departure,n_concurrent_extremes,risk_category,dhw_current,sst_anomaly,hotspot,current_sst,dhw_trend,dhw_momentum,oni,dmi,years_since_bleaching,adaptation_status,chl_anomaly,kd490_anomaly,par_proxy,clarity_score,is_peak_season,pcrvi_raw
2019-05-19,0.6098233747319411,0.5918315102509426,0.4070352567931067,0.7540829415461061,0.8497925902588966,0.5940333333333334,0.20574948665297743,0.46030238707757287,0.9380765879550255,0.036750618642846504,1.011025185592854,0.19145950530849612,0.335272563472448,0.4482574414895541,0,0,0.08779396461649504,0.04622959715211837,0.06865794345983108,-1.9169063554594803,0,High,5.438457879508144,0.14320145792257222,0.8919748260429614,30.09197482604296,0.08152738602199529,1.1036085902185886,0.54,0.539,0.057494866529774126,adapted,0.01104484632422678,0.005720580746310057,0.9212791347335803,0.9548740411764706,True,0.5983565624911583
2019-05-20,0.6022032429013309,0.5792070185469252,0.3532626668889563,0.7360212464484063,0.8495333857009666,0.5940333333333334,0.20602327173169063,0.5309114118592627,0.88376346147043,0.0007816943868945728,1.0002345083160684,0.011725415803418592,0.32844927941048846,0.43913475091060433,0,0,0.0875546426756797,-0.12021022432689296,-0.09106981214660254,-0.9110520807752625,0,High,5.438457879508144,0.008769983162196127,0.7575433512825853,29.957543351282585,0.07715836114041293,1.0322172612811493,0.54,0.539,0.06023271731690623,adapted,-0.02871977123059402,-0.007587937938175028,0.8097205347055658,0.9578063882352941,True,0.5793428474094997
2019-05-21,0.5925865497055516,0.5606471735272759,0.4124209053218536,0.7194553956179669,0.849170606857305,0.5940333333333334,0.20629705681040383,0.4597755633572406,0.7197401354285797,0.018367443535547624,1.0055102330606642,0.2094609561672721,0.3189583763181002,0.42644546940914063,0,0,0.08742582755084097,0.04389382318591056,0.08820757054597393,0.5115749371045544,0,High,5.438457879508144,0.15666557924443936,0.9054389473648286,30.105438947364828,0.07286640229832937,0.9738577240288455,0.54,0.539,0.06297056810403832,adapted,0.010486799832495395,0.007349455930606256,0.48496512968068883,0.9545151411764706,True,0.5637364701182138
2019-05-22,0.5971903696031902,0.5923454239044228,0.475247110845163,0.7169680404794739,0.8487043612271127,0.5940333333333334,0.20657084188911706,0.5197045434248191,0.7820301159938602,0.1049860697198713,1.0314958209159615,0.41945662248944254,0.31400172265921616,0.4198184526784269,0,0,0.08694772864518621,-0.21976844589333627,-0.19110124200008008,0.13271180764715976,0,High,5.590244231104301,0.31373109305271285,1.062504461173102,30.2625044611731,0.069550788688563,0.9370080431404766,0.54,0.539,0.06570841889117043,adapted,-0.05250551294701951,-0.015922557980799248,0.6044174261053674,0.959642805882353,True,0.6110018292961058
2019-05-23,0.6027451868490763,0.5960424366174284,0.5145133193434304,0.7199949035601758,0.8481347869690323,0.5940333333333334,0.20684462696783026,0.49938706446382974,0.7521826301402925,0.1306797443367525,1.0392039233010257,0.5507033458727235,0.3136124067104852,0.41929793954934236,0,0,0.08657639508925066,-0.4004356473397843,-0.3736673889299868,0.4032515707646029,0,High,5.756054228592697,0.41189661429838154,1.1606699824187707,30.36066998241877,0.06722787664486674,0.921718226609654,0.54,0.539,0.06844626967830253,adapted,-0.09566923486391499,-0.031133971728813173,0.5413708308688202,0.9629944294117647,True,0.6194096385867346
2019-05-24,0.6112195049945213,0.6126282675644152,0.5107553030366802,0.7277463171574422,0.847462052860209,0.5940333333333334,0.20711841204654347,0.4916308844303371,0.896673281688422,0.13066211675100986,1.0391986350253029,0.5381422317355214,0.3111493543308865,0.41600485303340856,0,0,0.08544942793806569,-0.4730619886287003,-0.4689931687844931,-0.9406067299308577,0,High,5.920522077400112,0.40250157353150584,1.151274941651895,30.351274941651894,0.06594622840720518,0.9284811630192227,0.54,0.539,0.07118412046543464,adapted,-0.113020603425217,-0.039076516952028656,0.8286021045533146,0.9647444588235294,True,0.6366424594308563
2019-05-25,0.6117164013852013,0.5942810721636554,0.46621323902104594,0.7393802756715661,0.8466863582462779,0.5940333333333334,0.2073921971252567,0.5171941539659175,0.7876348174831342,0.10615638110252194,1.0318469143307565,0.3892610390163852,0.3013433766328934,0.402894318641091,0,0,0.08339570079542975,-0.2461145810518544,-0.2418585630089784,0.24833754233457994,0,High,6.069082046201942,0.2911464134924202,1.0399197816128094,30.23991978161281,0.06572662004827125,0.9574609766326665,0.54,0.539,0.07392197125256673,adapted,-0.05879994404720068,-0.020151658630568364,0.6146950055545037,0.9605746294117647,True,0.6132070905572415
2019-05-26,0.6045995557232333,0.5809677955765264,0.40849227612183514,0.7436738459855896,0.8458079329822941,0.5940333333333334,0.2076659822039699,0.5384929425235885,0.7644285084631355,0.01308863806320119,1.0039265914189603,0.19632957094801787,0.28621954663154253,0.38267384705906243,0,0,0.08211162272326344,-0.049987686456983316,-0.0032767250488546958,0.47373362770194277,0,High,6.069082046201942,0.1468440062443932,0.8956173743647824,30.09561737436478,0.06574454591443774,0.9999485331187383,0.54,0.539,0.07665982203969883,adapted,-0.01194270227370376,-0.00027301677389152855,0.5726623698674475,0.9561946470588235,True,0.5832490187373296
2019-05-27,0.5979861317228327,0.5762096733579285,0.4000198389060813,0.7498182431217193,0.8448270373646212,0.5940333333333334,0.2079397672826831,0.5270581300812187,0.7481402103186592,0.01120070495877406,1.0033602114876323,0.1680105743816109,0.2746930998717883,0.3672630556704686,0,0,0.08119205667222537,-0.15293037330014375,-0.11487169860468663,0.656494561525811,0,High,6.069082046201942,0.12566291320500866,0.8744362813253979,30.074436281325397,0.06599735705241594,1.055072226030581,0.54,0.539,0.07939767282683094,adapted,-0.0365370363459748,-0.00957111142891082,0.5380370676961419,0.9582433529411765,True,0.5781458597216307
2019-05-28,0.5873671336997323,0.554068068603571,0.388688226047995,0.755588723366301,0.8437439620538002,0.5940333333333334,0.20821355236139633,0.476813189121845,0.6421048593589143,0.00867565502372656,1.002602696507118,0.1301348253558984,0.26843154315588924,0.358891391242755,0,0,0.07976698690510312,-0.6061840973393298,-0.6116734368146529,1.3459171871139393,0,High,6.069082046201942,0.09733388105979301,0.8461072491801822,30.04610724918018,0.06643899083794745,1.10173618383811,0.54,0.539,0.08213552361396304,adapted,-0.14482519017573206,-0.050964638748878334,0.31684587754135796,0.9673638411764706,True,0.5555101396304312
