smiles,name,moa,disagreement,rank_mean,rank_std,rf_S,rf_rank,rf_pctile,dmpnn_S,dmpnn_rank,dmpnn_pctile,chemeleon_frozen_S,chemeleon_frozen_rank,chemeleon_frozen_pctile,molformer_S,molformer_rank,molformer_pctile,dmpnn_rdkit_S,dmpnn_rdkit_rank,dmpnn_rdkit_pctile
COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C21CCC1,A-366,histone lysine methyltransferase inhibitor,0.19964552620316792,0.608161448286096,0.19964552620316792,0.2442029882533294,831,0.8766879358955335,0.047108,1674,0.7515951921650097,0.086739,3181,0.5279715091259831,0.0073960443417714,3412,0.4936934263243805,0.0807031674940785,4105,0.3908591779195726
NC(=O)NCCN1CCN(c2cccc(C(F)(F)F)c2)CC1,fluprazine,serotonin receptor agonist,0.19958893215550705,0.3467576791808874,0.19958893215550705,0.1601284783366629,3495,0.4813770589108176,0.000209,5145,0.23653361032794185,0.030424,5007,0.2570114260276005,0.000254071988476,5825,0.1356284315180294,0.1448833984932595,2539,0.6232378691200475
CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O,repaglinide,insulin secretagogue,0.19958476735580363,0.8088440421427512,0.19958476735580363,0.2957126382357724,303,0.9550378394420537,0.009839,2593,0.6152248108027898,0.48471,286,0.9575604689123015,0.0137193590020664,2919,0.5668496809615671,0.3491989526643375,340,0.9495474105950438
CC(C)[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](Cc2ccccc2)C(=O)N1C,cilengitide,integrin antagonist,0.19952891202728276,0.609081466092892,0.19952891202728276,0.2260354668437448,1196,0.8225255972696246,0.006753,2834,0.579462828312806,0.194831,1530,0.7729633476776969,0.0017718051466866,4567,0.3223030123163674,0.1219718688324772,3045,0.5481525448879656
COCCCOc1ccnc(C[S@@](=O)c2nc3ccccc3[nH]2)c1C,rabeprazole,ATPase inhibitor|gastrin inhibitor,0.1995040358159242,0.5003709749220953,0.1995040358159242,0.1867640893592258,2447,0.6368897462531533,0.068905,1461,0.7832022555275263,0.054669,4066,0.3966463867042588,0.0021510647537917,4417,0.3445615076420834,0.0704255947507477,4444,0.3405549784834545
CCOC(=O)c1c(C)n(C)c2ccc(O)cc12,mecarbinate,,0.1994870102676658,0.3616263540584656,0.1994870102676658,0.0650454375677591,6321,0.0620270069743285,0.002075,3647,0.45882178364742543,0.045024,4381,0.34990354652025524,0.0186036826828833,2665,0.6045407330464461,0.0689119668110045,4496,0.33283870010387295
C[C@@H]1NC(=O)[C@@H](N)CNC(=O)[C@H]([C@H]2CCN=C(N)N2)NC(=O)/C(=C\NC(N)=O)NC(=O)[C@H](CNC(=O)C[C@@H](N)CCCN)NC1=O,capreomycin,protein synthesis inhibitor,0.19946300094752226,0.6216055794628282,0.19946300094752226,0.2281596132395942,1145,0.830093485680368,0.009481,2626,0.6103279418311323,0.140068,2221,0.6704258792105653,0.0013883184241684,4751,0.2949992580501558,0.1741117830408741,2007,0.7021813325419202
Cc1cccc(C)c1NC(=O)c1ccc(N)cc1,ameltolide,anticonvulsant,0.19945763571129105,0.34803383291289514,0.19945763571129105,0.053372971513961,6456,0.04199436118118416,0.001105,4069,0.39620121679774445,0.11043,2711,0.5977147944798932,0.0027110820855876,4233,0.37186526190829505,0.0687988926089779,4499,0.3323935301973586
Cc1coc2c1C(=O)C(=O)c1c-2ccc2c(C)cccc12,tanshinone-I,AP inhibitor,0.1994292836716449,0.45345006677548605,0.1994292836716449,0.086980566891336,5963,0.11515061581837072,0.004255,3131,0.5353910075678885,0.078339,3388,0.49725478557649505,0.0065327162869838,3519,0.4778156996587031,0.1521887741528023,2415,0.6416382252559727
OC[C@@H](O)[C@H]1O[C@@H]2O[C@H](C(Cl)(Cl)Cl)O[C@@H]2[C@H]1O,chloralose,,0.19941206402295206,0.5099569669090369,0.19941206402295206,0.1780284833742689,2767,0.5894049562249593,0.002062,3652,0.4580798338032349,0.082667,3283,0.5128357323044962,0.000660717696397,5248,0.22124944353761689,0.2034243003545467,1562,0.7682148686748775
CC(=O)NC[C@H]1CN(c2ccc(N3CCN(C(=O)CO)CC3)c(F)c2)C(=O)O1,eperezolid,bacterial 30S ribosomal subunit inhibitor,0.19940990525097904,0.40023742395014106,0.19940990525097904,0.1022693231599862,5622,0.16575159519216498,0.003702,3231,0.5205520106840777,0.061738,3856,0.4278082801602612,0.0267048070459754,2360,0.6497996735420686,0.0521379166657386,5140,0.23727556017213236
OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O,alpha-D-glucopyranose,,0.19931682393944514,0.3800563881881585,0.19931682393944514,0.1366877053339707,4464,0.33758717910669234,0.001244,3994,0.4073304644606025,0.076152,3445,0.488796557352723,8.762957054701505e-05,6277,0.06855616560320521,0.1361227670351711,2709,0.5980115744175694
N#Cc1cccc(-c2c[nH]c3ncnc(N4CCOCC4)c23)c1,PF-06447475,serine/threonine kinase inhibitor,0.19929741248669952,0.3667606469802641,0.19929741248669952,0.1839312389069461,2546,0.6221991393381807,0.00253,3507,0.4795963792847604,0.023531,5311,0.21190087550081615,0.0032348896832969,4106,0.39071078795073455,0.0319534907920012,5867,0.12939605282682887
COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,PD-153035,EGFR inhibitor,0.19914656404402625,0.4533016768066479,0.19914656404402625,0.1269873947661621,4802,0.2874313696394124,0.000604,4483,0.3347677696987683,0.139346,2233,0.6686451995845081,0.0331245634408308,2206,0.672651728743137,0.0634046704633796,4697,0.30301231636741355
Cc1ncc([N+](=O)[O-])n1C[C@@H](C)O,secnidazole,acetylcholinesterase inhibitor|microtubule inhibitor,0.19905435518002645,0.22047781569965866,0.19905435518002645,0.0184956997040158,6688,0.007567888410743406,0.001676,3793,0.4371568481970619,0.00051,6645,0.013948657070781967,0.0024696689879937,4309,0.36058762427659885,0.0599646389078428,4831,0.28312806054310724
Cc1cc(S(C)(=O)=O)c(S(C)(=O)=O)cc1C(=O)NC(=N)N,rimeporide,sodium/hydrogen exchanger inhibitor,0.19900210757711242,0.7813918979077015,0.19900210757711242,0.215929239163029,1483,0.779937676213088,0.005585,2951,0.5621012019587476,0.753148,48,0.9928772814957709,0.7645521880302752,222,0.9670574269179404,0.1382120211128216,2662,0.6049859029529604
O=C(Nc1ccc(Cl)cc1)Nc1cccc(-c2cccc(N3CCCC3)n2)c1,PSNCBAM-1,cannabinoid receptor modulator,0.1989748028168272,0.6367116782905476,0.1989748028168272,0.211293665170515,1612,0.7607953702329723,0.02031,2160,0.6794776673096898,0.137093,2263,0.6641935005193649,0.0013567738047767,4764,0.29307018845526045,0.2128468603587897,1442,0.7860216649354503
COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1,nintedanib,FGFR inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,0.19896949635057076,0.6560914082208044,0.19896949635057076,0.1379545073059304,4411,0.34545184745511204,0.018971,2192,0.6747291883068705,0.179738,1705,0.7469951031310283,0.0223186289877893,2506,0.6281347380917051,0.2782006365993021,774,0.8851461641193056
COc1ccc2[nH]c(I)c(CCNC(C)=O)c2c1,2-iodomelatonin,melatonin receptor agonist,0.19876963999540995,0.47268140673690456,0.19876963999540995,0.1664810521419388,3210,0.523668200029678,0.002561,3497,0.48108027897314143,0.163526,1892,0.7192461789583025,0.0003592771413022,5626,0.1651580353168126,0.1015831112553062,3543,0.47425434040658854
