smiles,name,n_models,is_known_antibiotic,best_selectivity,MW,LogP,TPSA,HBD,HBA,RotBonds,Rings,lipinski_violations,lipinski_pass
N#Cc1cc(CN2CCC(Nc3ncnc4sc(Cl)cc34)CC2)ccc1F,PRX-08066,1,False,0.9986,401.9,4.432,64.84,1,6,4,4,0,True
[N-]=[N+]=N[C@]1(CO)O[C@@H](n2ccc(N)nc2=O)[C@@H](O)[C@@H]1O,Ro-9187,1,False,0.9986,284.23,-1.925,179.59,4,8,3,2,0,True
NC1=NC(=O)N2C[C@@H]12,imexon,1,False,0.9986,111.1,-0.839,58.46,1,2,0,2,0,True
COC(=O)C[C@](O)(CCCC(C)(C)O)C(=O)O[C@@H]1C(OC)=C[C@]23CCCN2CCc2cc4c(cc2[C@H]13)OCO4,homoharringtonine,1,False,0.9985,545.63,2.581,123.99,2,10,9,5,1,True
CCN1CCC[C@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,levosulpiride,1,False,0.9985,341.43,0.557,101.73,2,5,6,2,0,True
CC(C)C(=O)OC[C@@]1(CCl)O[C@@H](n2ccc(N)nc2=O)[C@H](F)[C@@H]1OC(=O)C(C)C,ALS-8176,1,False,0.9984,433.86,1.437,122.74,1,8,7,2,0,True
Nc1ncnc2c1c(-c1cccc(OCc3ccccc3)c1)cn2[C@H]1C[C@@H](CN2CCC2)C1,NVP-AEW541,1,False,0.9984,439.56,4.916,69.2,1,5,7,6,0,True
CC(C)S(=O)(=O)NC[C@H](C)c1ccc(-c2ccc(C#N)cc2)cc1,LY404187,1,False,0.9984,342.46,3.657,69.96,1,3,6,2,0,True
CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC)[C@@]34[C@@H]2C[C@@H]([C@@H]13)[C@@]1(O)C[C@H](OC)[C@H]2C[C@@H]4[C@]1(O)[C@H]2OC,lappaconite,1,False,0.9984,584.71,2.222,126.79,3,9,7,7,1,True
COC1=C(OC)C(=O)C(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)=C(C)C1=O,coenzyme-Q10,1,False,0.9984,863.36,17.854,52.6,0,4,31,1,2,False
CN[C@@H]1[C@@H](C)O[C@@H](O[C@H]2[C@H](C)O[C@@H](O[C@@H]3/C(C)=C/C[C@@H]4C[C@@H](C[C@]5(C=C[C@H](C)[C@@H](C(C)C)O5)O4)OC(=O)[C@@H]4C=C(C)[C@@H](O)[C@H]5OC/C(=C\C=C\[C@@H]3C)[C@]54O)C[C@@H]2OC)C[C@H]1OC,emamectin,1,False,0.9983,872.11,5.214,161.86,3,14,8,7,3,False
CC#CCOC(=O)C1=CCCN(C)C1,arecaidine-but-2-ynyl-ester,1,False,0.9982,193.25,0.815,29.54,0,3,2,1,0,True
CO[C@@H]1[C@H](O[P@@](=O)(S)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)C[C@@H]2O)[C@@H](CO)O[C@H]1n1ccc(=O)[nH]c1=O,inarigivir,1,False,0.9981,587.51,-1.048,228.16,5,14,9,5,2,False
COC(=O)C[C@](O)(CCC(C)(C)O)C(=O)O[C@@H]1C(OC)=C[C@]23CCCN2CCc2cc4c(cc2[C@H]13)OCO4,harringtonine,1,False,0.9981,531.6,2.191,123.99,2,10,8,5,1,True
NS(=O)(=O)C#Cc1ccccc1,pifithrin-mu,1,False,0.9981,181.22,0.284,60.16,1,2,0,1,0,True
COC(=O)/C=C/C(=O)OCCN1C(=O)CCC1=O,diroximel-fumarate,1,False,0.998,255.23,-0.592,89.98,0,6,5,1,0,True
Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1,torcitabine,1,False,0.9979,227.22,-1.534,110.6,3,6,2,2,0,True
CCCC(CCC)C(=O)NCc1ccc2c(cnn2-c2ccccc2OC)c1,M-25,1,False,0.9978,379.5,4.867,56.15,1,3,9,3,0,True
COc1nnc2ccc(N3CCC(c4ccc(OCCN5CCN(C)C(=O)[C@H]5C)cc4)CC3)nn12,AZD5153,1,False,0.9977,479.59,2.058,88.33,0,8,7,5,0,True
Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1,decitabine,1,False,0.9975,228.21,-2.139,123.49,3,7,2,2,0,True
CCCCN1CCC[C@@H]1CNC(=O)c1cc(C#N)c2ccccc2c1OC,nafadotride,1,False,0.9975,365.48,3.714,65.36,1,4,7,3,0,True
CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,tylosin,1,False,0.9975,916.11,1.834,238.67,5,18,13,4,2,False
O=C1C(=C(O)/C=C/c2ccc(O)cc2)C(=O)[C@@](O)([C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C(=O)/C1=C/[C@H]1C(=O)C(=C(O)/C=C/c2ccc(O)cc2)C(=O)[C@](O)([C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C1=O,safflower-yellow,1,False,0.9975,910.79,-4.42,404.1,14,22,9,6,3,False
COc1ccnc(C[S@@](=O)c2nc3ccc(OC(F)F)cc3[nH]2)c1OC,pantoprazole,1,False,0.9974,383.38,2.884,86.33,1,6,7,3,0,True
NS(=O)(=O)OC[C@@H]1C[C@@H](n2ccc3c(N[C@H]4CCc5ccccc54)ncnc32)C[C@@H]1O,pevonedistat,1,False,0.9973,443.53,2.063,132.36,3,7,6,5,0,True
CC[C@H](C)[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2,ivermectin,1,False,0.9973,875.11,5.601,170.06,3,14,8,7,3,False
Nc1ccn([C@H]2CO[C@@H](CO)S2)c(=O)n1,apricitabine,1,False,0.9972,229.26,-0.594,90.37,2,6,2,2,0,True
NC(=O)N1CCC(CC(=O)N2CCC([C@H]3c4ncc(Br)cc4CCc4cc(Cl)cc(Br)c43)CC2)CC1,lonafarnib,1,False,0.9972,638.83,5.91,79.53,1,3,3,5,2,False
O=C(O)c1ccc(CN2C[C@@H]3C[C@H]2CN3Cc2ccc(Oc3ccc(-c4ncco4)cc3)cc2)cc1,acebilustat,1,False,0.9972,481.55,5.291,79.04,1,6,8,6,1,True
CC[C@@H]([C@H](C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5CO[C@@](Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O,posaconazole,1,False,0.9972,700.79,4.573,115.7,1,9,12,7,1,True
CS(C)=O,DMSO,1,False,0.9971,78.14,-0.005,17.07,0,1,0,0,0,True
CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@H](C)C[C@H]2[C@@H]3[C@H]([C@@H](O)C[C@@]21C)[C@@]1(C)C=CC(=O)C=C1C[C@H]3Cl,alclometasone-dipropionate,1,False,0.997,521.05,3.943,106.97,1,7,6,4,1,True
COc1cc2cc(c1Cl)N(C)C(=O)C[C@H](OC(=O)C(C)C)[C@]1(C)O[C@H]1[C@H](C)[C@@H]1C[C@@](O)(NC(=O)O1)[C@H](OC)/C=C/C=C(\C)C2,ansamitocin-p-3,1,False,0.997,635.15,4.324,136.16,2,9,4,4,1,True
COc1cc2c(cc1OC)CN(CCc1ccc(-n3nnc(-c4cc(OC)c(OC)cc4NC(=O)c4cc(=O)c5ccccc5o4)n3)cc1)CC2,HM-30181,1,False,0.9968,688.74,5.323,143.07,1,11,11,7,3,False
CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@H]12,spironolactone,1,False,0.9967,416.58,4.852,60.44,0,5,1,5,0,True
COc1ncc(-c2ccc3nccc(-c4ccnnc4)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,GSK2126458,1,False,0.9967,505.51,4.841,106.96,1,7,6,5,1,True
C#CC[C@H](Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,pralatrexate,1,True,0.9967,477.48,0.982,207.3,5,9,10,3,0,True
CCN1CCC[C@@H]1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,amisulpride,1,False,0.9966,369.49,1.285,101.73,2,6,7,2,0,True
C[C@H](c1ccc2ccc(O[C@H]3CC[C@@H](C(F)(F)F)CC3)c(C(F)(F)F)c2c1)N1[C@@H]2CC[C@H]1C[C@@H](C(=O)O)C2,autotaxin-modulator-1,1,False,0.9966,543.55,7.747,49.77,1,3,5,5,2,False
Cc1c(OCc2cccc(-c3ccc(C(=O)O)cc3)c2)cc2c(c1C)C(=O)[C@@H](C1CCCC1)C2,BINA,1,False,0.9965,454.57,6.793,63.6,1,3,6,5,1,True
C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CCC2=O,estropipate,1,False,0.9964,350.44,3.293,80.67,1,4,2,4,0,True
CC(=O)N[C@@H]1[C@H](O[C@@H]2c3ccc(c(Cl)c3)Oc3cc4cc(c3O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3NC(=O)CCCCCCCC(C)C)Oc3ccc(cc3Cl)C[C@H]3NC(=O)[C@H](N)c5ccc(O)c(c5)Oc5cc(O)cc(c5)[C@H](NC3=O)C(=O)N[C@@H]4C(=O)N[C@@H]3C(=O)N[C@@H]2C(=O)N[C@@H](C(=O)O)c2cc(O)cc(O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]4O)c2-c2cc3ccc2O)O[C@H](CO)[C@@H](O)[C@@H]1O,teicoplanin-A2-3,1,True,0.9963,1893.71,1.41,662.41,24,33,20,16,3,False
CCOP(=O)(Cc1ccc(C(=O)Nc2ccc(Br)cc2C#N)cc1)OCC,ibrolipim,1,False,0.9963,451.26,5.339,88.42,1,5,8,2,1,True
Cc1nc(N2CCC3(CC2)CO[C@@H](C)[C@H]3N)c(CO)nc1-c1cccc(Cl)c1Cl,RMC-4550,1,False,0.9961,437.37,3.584,84.5,2,6,3,4,0,True
NS(=O)(=O)c1ccc2c(c1)[C@H]1C=CC[C@@H]1[C@@H](c1ccc(Br)cc1)N2,4BP-TQS,1,False,0.996,405.32,3.923,72.19,2,3,2,4,0,True
CN(C)[C@@H]1C(=O)[C@@H](C(N)=O)C(=O)[C@@]2(O)C(=O)[C@H]3C(=O)c4c(O)ccc(Cl)c4[C@@H](O)[C@H]3C[C@@H]12,demeclocycline,1,True,0.996,464.86,-0.989,175.3,4,9,2,4,0,True
CC(C)(O)C(Cl)(Cl)Cl,chlorobutanol,1,False,0.996,177.46,2.128,20.23,1,1,0,0,0,True
O=C(O)CCSC[C@@H]1O[C@H]2O[C@@H]3[C@@H](O)[C@H](O)[C@H](O[C@@H]4[C@@H](O)[C@H](O)[C@H](O[C@@H]5[C@@H](O)[C@H](O)[C@H](O[C@@H]6[C@@H](O)[C@H](O)[C@H](O[C@@H]7[C@@H](O)[C@H](O)[C@H](O[C@@H]8[C@@H](O)[C@H](O)[C@H](O[C@@H]9[C@@H](O)[C@H](O)[C@H](O[C@@H]1[C@@H](O)[C@@H]2O)O[C@H]9CSCCC(=O)O)O[C@H]8CSCCC(=O)O)O[C@H]7CSCCC(=O)O)O[C@H]6CSCCC(=O)O)O[C@H]5CSCCC(=O)O)O[C@H]4CSCCC(=O)O)O[C@H]3CSCCC(=O)O,sugammadex,1,False,0.9959,2002.18,-7.682,769.76,24,48,40,30,3,False
C[C@]12CC[C@H](OS(=O)(=O)O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,dehydroepiandrosterone-sulfate,1,False,0.9957,368.5,3.706,80.67,1,4,2,4,0,True
Cc1nc(-c2nc(-c3ccc(OC(F)(F)F)cc3)no2)nn1Cc1cccc(N2CCC(S(C)(=O)=O)CC2)c1,IACS-10759,1,False,0.9957,562.57,4.264,116.24,0,9,7,5,1,True
Cc1ccc(S(=O)(=O)Cc2nc(-c3ccc(C(=O)NCc4cccnc4)cc3)oc2C)cc1,STF-118804,1,False,0.9956,461.54,4.257,102.16,1,6,7,4,0,True
CC(C)(S)C(=O)N[C@@H](CS)C(=O)O,bucillamine,1,False,0.9955,223.32,0.194,66.4,4,4,4,0,0,True
COC(=O)Nc1c(N)nc(-c2nn(Cc3ccccc3F)c3ncccc23)nc1N,nelociguat,1,False,0.9954,408.4,2.418,146.86,3,8,4,4,0,True
ClC=C(Cl)Cl,trichloroethylene,1,False,0.9953,131.39,2.502,0.0,0,0,0,0,0,True
CCOc1ccc(S(=O)(=O)O)c2cccnc12,actinoquinol,1,False,0.9953,253.28,1.88,76.49,1,4,3,2,0,True
COc1cc2c(cc1OC)[C@@H]1CC(=O)[C@@H](CC(C)C)CN1CC2,tetrabenazine,1,False,0.9951,317.43,3.238,38.77,0,4,4,3,0,True
CC(C)(C)C#Cc1cc(N(C(=O)[C@H]2CC[C@H](C)CC2)[C@H]2CC[C@@H](O)CC2)c(C(=O)O)s1,VX-222,1,False,0.9951,445.63,5.307,77.84,2,4,4,3,1,True
CN(C)[C@@H]1C(=O)C(C(=O)NCN2CCCC2)=C(O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,rolitetracycline,1,True,0.9951,527.57,0.47,170.87,6,10,4,5,2,False
O=C(CCCCC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I)Nc1c(I)cc(I)c(C(=O)O)c1I,iodipamide,1,False,0.995,1139.76,6.848,132.8,4,4,9,2,2,False
COc1ccnc(C[S@@](=O)c2nc3ccc(-n4cccc4)cc3[nH]2)c1C,ilaprazole,1,False,0.995,366.45,3.373,72.8,1,4,5,4,0,True
C=CC(=O)N[C@@H]1CN(c2nc(Nc3cn(C)nc3OC)c3ncn(C)c3n2)C[C@H]1F,PF-06747775,1,False,0.995,415.43,0.678,115.02,2,8,6,4,0,True
NC(=O)/N=N/C(N)=O,azodicarbonamide,1,False,0.9949,116.08,-0.404,110.9,2,2,0,0,0,True
CS(=O)(=O)NCCN1C(=O)NC[C@]12CCN1CCc3c(oc4ccccc34)[C@@H]1C2,vatinoxan,1,False,0.9949,418.52,1.439,94.89,2,5,4,5,0,True
CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F,capecitabine,1,False,0.9949,359.35,0.76,122.91,3,7,6,2,0,True
S=C(S)N1CCCC1,pyrrolidine-dithiocarbamate,1,False,0.9948,147.27,1.297,3.24,1,1,0,1,0,True
CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,clobetasol-propionate,1,False,0.9947,466.98,4.103,80.67,1,5,4,4,0,True
