smiles,name,moa,clinical_phase,rf_p_path,rf_p_gut,rf_S,rf_rank,dmpnn_p_path,dmpnn_p_gut,dmpnn_S,dmpnn_rank,chemeleon_frozen_p_path,chemeleon_frozen_p_gut,chemeleon_frozen_S,chemeleon_frozen_rank,molformer_p_path,molformer_p_gut,molformer_S,molformer_rank,dmpnn_rdkit_p_path,dmpnn_rdkit_p_gut,dmpnn_rdkit_S,dmpnn_rdkit_rank,MW,LogP,TPSA,n_rings,n_aromatic_rings,n_rotatable,n_HBA,n_HBD,formal_charge,n_heavy_atoms,fraction_sp3,n_heteroatoms,has_phosphate,has_sulfate
COc1nc2ccc(Br)cc2cc1[C@@H](c1ccccc1)[C@@](O)(CCN(C)C)c1cccc2ccccc12,bedaquiline,ATPase inhibitor,Launched,0.1812857446360007,0.1724085024819568,0.1500305408819814,3895,0.269461,0.025093,0.262699,822,0.154621,0.112064,0.137294,2261,0.00069008715,0.47162452,0.000364625129123,5614,0.0978618832,0.325417366,0.0660159269372563,4603,555.5160000000003,7.1305000000000085,45.59,5,5,8,4,1,0,37,0.21875,5,0,0
[NH2][Pt]([NH2])([Cl])[Cl],cisplatin,DNA alkylating agent|DNA synthesis inhibitor,Launched,0.1615903804896383,0.071556162197079,0.150027593013834,3896,0.42923,0.004593,0.427259,614,0.000147,0.0,0.000147,6683,9.504995e-06,0.00041673775,9.501033909769938e-06,6664,0.2196180508,0.0266878457,0.2137569181473148,1427,298.03,0.19530000000000025,52.04,0,0,0,2,2,0,5,0.0,5,0,0
O=C1Nc2cc(Cl)c(Cl)cc2N2CCNC[C@H]12,WAY-161503,serotonin receptor agonist,Preclinical,0.2090450145466477,0.282340250066756,0.1500231928643385,3897,0.000155,0.252322,0.000116,5438,0.020387,0.371228,0.012819,5850,0.023971416,0.12894133,0.0208805097389767,2555,0.1432415001999999,0.0471840271999999,0.1364827893583943,2701,272.13500000000005,1.7237,44.370000000000005,3,1,0,3,2,0,17,0.36363636363636365,6,0,0
Cn1cncc1[C@@](N)(c1ccc(Cl)cc1)c1ccc2c(c1)c(-c1cccc(Cl)c1)cc(=O)n2C,tipifarnib,farnesyltransferase inhibitor,Phase 3,0.1931764505179486,0.2234120396726057,0.1500185056910195,3898,0.002194,0.846362,0.000337,4881,0.382513,0.448302,0.211032,1373,0.8387618,0.5119202,0.40938269159164,591,0.2066426374,0.5373599240000001,0.0956011654715764,3695,489.40600000000023,5.496400000000004,65.84,5,5,4,3,1,0,34,0.1111111111111111,7,0,0
COc1cccc(OC)c1-c1cc(C(=O)N[C@@H](CC(C)C)C(=O)O)nn1-c1ccnc2cc(Cl)ccc12,TC-NTR1-17,neurotensin agonist,Preclinical,0.2082002048404265,0.2797215562601916,0.1499621195287717,3899,0.000724,0.037591,0.000697,4403,0.200578,0.071602,0.186216,1629,0.004584704,0.018218694,0.0045011766807434,3838,0.245741954,0.4374075721999999,0.1382525625131759,2660,522.9890000000001,4.987200000000004,115.57000000000001,4,4,9,6,2,0,37,0.25925925925925924,10,0,0
Cc1cccc(-c2n[nH]cc2-c2ccc3ncccc3n2)n1,repsox,TGF beta receptor inhibitor,Preclinical,0.1980317282541643,0.2427467219864572,0.149960175371153,3900,0.00094,0.011234,0.00093,4207,0.068815,0.01733,0.067623,3671,0.00061954604,0.0019420777,0.0006183428334515,5290,0.1665526192,0.03559464,0.1606242386785189,2265,287.3260000000001,3.3903200000000018,67.35,4,4,2,4,1,0,22,0.058823529411764705,5,0,0
O=C(O)c1ccccc1-c1ccc(C(F)(F)F)cc1,xenalipin,,Phase 2,0.2010578124740273,0.2543162181589348,0.1499255499743243,3901,0.104724,0.005324,0.104167,1262,0.278754,0.028122,0.270915,950,0.05154788,0.0072195493,0.0511757275390295,1877,0.256507492,0.108165189,0.228762310647904,1258,266.21799999999996,4.0706000000000016,37.3,2,2,2,1,1,0,19,0.07142857142857142,5,0,0
O=C1NC(=O)c2c1c1c3ccccc3n3c1c1c2c2ccccc2n1[C@H]1CC[C@H]3O1,SB-218078,CHK inhibitor,Preclinical,0.205596408112172,0.2709641561971905,0.1498871508708841,3902,0.398142,0.954654,0.018054,2225,0.098149,0.325326,0.066218,3708,0.813689,0.69121826,0.25125230523886,854,0.0549272842,0.2178720799999999,0.0429601625425948,5476,393.40200000000016,4.607200000000002,65.26,8,5,0,3,1,0,30,0.16666666666666666,6,0,0
CCN(CC)CCOc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1,PD-166285,SRC inhibitor,Preclinical,0.2233511856058761,0.3289182087459322,0.1498869137151111,3903,0.421808,0.276093,0.30535,768,0.113326,0.315007,0.077628,3404,0.0013638183,0.07256824,0.0012648484062892,4811,0.141695159,0.2976461232,0.0995201442474424,3593,512.4410000000004,5.766500000000005,72.28,4,4,9,6,1,0,35,0.2692307692307692,9,0,0
COc1ccc(S(=O)(=O)N(C(C)=O)c2ccccc2/C=C/c2cc[n+]([O-])cc2)cc1,HMN-214,PLK inhibitor,Phase 1,0.2021602387577711,0.2587296423794658,0.1498553924806256,3904,0.016124,0.062618,0.015115,2328,0.076515,0.126133,0.066864,3694,0.008788978,0.017692778,0.0086334765633991,3288,0.193508294,0.136687558,0.1670581178403939,2136,424.4780000000001,3.240800000000002,90.62,3,3,6,5,0,0,30,0.09090909090909091,8,0,1
CC(=O)[C@]1(N)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](O)[C@H](O)CO2)C1)C(=O)c1ccccc1C3=O,amrubicin,topoisomerase inhibitor,Launched,0.3154358944562829,0.5251214725381173,0.1497937330680215,3905,0.310072,0.975846,0.00749,2767,0.77129,0.685975,0.242204,1111,0.8257025,0.82781583,0.1421728996294249,1215,0.37926456,0.804033012,0.0743233334783452,4317,483.47300000000024,0.6317999999999996,176.60999999999999,5,2,3,10,5,0,35,0.4,10,0,0
Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1,valdecoxib,cyclooxygenase inhibitor,Withdrawn,0.210541093166024,0.2885414317402285,0.1497912647037466,3906,0.004732,0.011708,0.004677,3076,0.139548,0.017877,0.137053,2264,0.006515656,0.0014382271,0.0065062850069665,3523,0.307511446,0.1150424152,0.2721345865505156,825,314.36600000000004,2.9644200000000005,86.19,3,3,3,4,1,0,22,0.0625,6,0,0
CNc1nc(NCc2ncccn2)c2c(-c3ccc4ncccc4c3)c[nH]c2n1,T-025,CLK inhibitor,Preclinical,0.2006751928150028,0.2538029907704154,0.1497432287051253,3907,0.009545,0.021999,0.009335,2638,0.109218,0.023432,0.106659,2780,0.029503357,0.003303906,0.0294058806817875,2294,0.63317628,0.0793935104,0.5829061924287867,22,382.4310000000001,3.616900000000002,104.3,5,5,5,7,3,0,29,0.09523809523809523,8,0,0
CC(=O)Oc1cccc(C(=O)O)c1OC(C)=O,dipyrocetyl,chelating agent,Launched,0.2067152613449952,0.2759278664022186,0.1496767603292937,3908,0.02825,0.012308,0.027903,1963,0.571582,0.003014,0.569859,182,0.19573875,0.003998206,0.1949561461553174,1026,0.148323928,0.025523444,0.1445381905298319,2544,238.19499999999996,1.2354,89.9,1,1,3,5,1,0,17,0.18181818181818182,6,0,0
Cc1cc(OCc2nnc(SC3CCCC3)n2-c2cccnc2)ccc1-c1ccc(S(C)(=O)=O)cc1,NMS-873,ATPase inhibitor,Preclinical,0.1941330175233953,0.2291104460909174,0.1496551152776343,3909,0.001524,0.080782,0.0014,3915,0.048338,0.099222,0.043542,4439,0.00059291336,0.038464554,0.0005701072120469,5350,0.0917959334,0.435853316,0.0517863714322948,5149,520.6800000000002,5.654920000000006,86.97,5,4,8,7,0,0,36,0.2962962962962963,9,0,0
CCCNC[C@@H](O)COc1ccccc1C(=O)CCc1ccccc1,propafenone,antiarrhythmic,Launched,0.1572247865291465,0.0483114606361301,0.1496290274437197,3910,7e-06,0.005923,6e-06,6383,0.058598,0.018889,0.057491,3990,2.9538072e-05,0.0015374537,2.949265858191273e-05,6539,0.0234401008,0.0224624563339999,0.0229135785593154,6176,341.4510000000001,3.2414000000000023,58.559999999999995,2,2,11,4,2,0,25,0.38095238095238093,4,0,0
