smiles,name,moa,clinical_phase,our_rf_p_pathogen,our_rf_p_gut,our_rf_S,our_rf_rank,our_dmpnn_p_pathogen,our_dmpnn_p_gut,our_dmpnn_S,our_dmpnn_rank,our_chemeleon_frozen_p_pathogen,our_chemeleon_frozen_p_gut,our_chemeleon_frozen_S,our_chemeleon_frozen_rank,our_molformer_p_pathogen,our_molformer_p_gut,our_molformer_S,our_molformer_rank,stokes_dmpnn_score,stokes_dmpnn_rank,stokes_inhibition,stokes_validated_active,stokes_rf_score,stokes_rf_rank,name_lower
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,norethindrone,progesterone receptor agonist,Launched,0.2110119229963711,0.0167052204344755,0.2074869223084142,1714,1.3e-05,0.002652,1.3e-05,6219,0.006486,0.000605,0.006482,6183,0.0035578012,0.0005617338,0.0035558026628122,4029,,,,,,,norethindrone
C1=C(CN2CCOCC2)COc2c1cccc2OC[C@H]1CNCCO1,NAS-181,serotonin receptor antagonist,Preclinical,0.2589540498476714,0.1988936293045939,0.2074497390503453,1715,0.010263,0.004901,0.010212,2573,0.334004,0.007895,0.331366,676,0.01479875,0.0014233936,0.014777685553962,2858,,,,,,,nas-181
CC(C)[C@@H]1[C@H]2CC[C@@H](C2)[C@H]1N,AGN-192403,imidazoline receptor ligand,Preclinical,0.2289393032918812,0.0938797836942892,0.2074465310197181,1716,0.101776,0.011984,0.100556,1279,0.03806,0.062333,0.035688,4783,0.0060521183,0.0009192348,0.0060465549822449,3590,0.00213337432928206,4042.0,,False,,,agn-192403
Cc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cc3)c(C#N)cc2F)[nH]n1,AZ960,JAK inhibitor,Preclinical,0.2647430799574592,0.2165473523348205,0.2074136669437057,1717,0.438329,0.07223,0.406669,631,0.355029,0.147979,0.302492,802,0.09322189,0.080052905,0.0857592068959095,1531,0.0189450492024207,1679.0,,False,,,az960
CCCNC(=O)c1cn2ncnc(Nc3cc(C(=O)NC4CC4)ccc3C)c2c1C,BMS-582949,p38 MAPK inhibitor,Phase 2,0.2765980629996415,0.2502357172475383,0.2073833483156464,1718,0.003973,0.025438,0.003872,3200,0.1851,0.253042,0.138262,2251,0.034004904,0.016028801,0.0334598461607599,2201,,,,,,,bms-582949
CNCCCOc1cc(F)c(-c2c(Cl)nc3ncnn3c2N[C@@H](C)C(F)(F)F)c(F)c1,cevipabulin,microtubule stimulant|tubulin polymerization inhibitor,Phase 1,0.2911555213333772,0.2878284372348807,0.2073526826356843,1719,0.032532,0.750299,0.008123,2722,0.145188,0.043768,0.138833,2242,0.3661983,0.8249572,0.06410037578724,1728,0.0944743941305205,351.0,,False,,,cevipabulin
Cc1c(NC(=O)OC[C@@H]2COCCN2)cn2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c12,BMS-599626,EGFR inhibitor|protein tyrosine kinase inhibitor,Phase 1,0.317111150395182,0.346348799139641,0.2072800842620206,1720,8.6e-05,0.345789,5.6e-05,5771,0.34478,0.140584,0.29631,833,0.88503766,0.012107261,0.8743222780555506,118,0.0307065215667535,1166.0,,False,,,bms-599626
C[C@@]1(O)CC[C@H]2[C@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H](C(=O)Cn4cc(C#N)cn4)CC[C@@H]32)C1,zuranolone,GABA receptor agonist,Phase 3,0.2796248960643409,0.2587409455538212,0.2072744860562644,1721,0.000344,0.039826,0.00033,4895,0.119756,0.025296,0.116727,2611,0.0005983736,0.005707027,0.0005949586657087,5311,,,,,,,zuranolone
CCOc1noc2cc(OCCC3CCN(c4ccc(C)nn4)CC3)ccc12,vapendavir,antiviral,Phase 2,0.2567176098466893,0.1927263514602914,0.2072413615453302,1722,0.007423,0.008449,0.007361,2774,0.267044,0.040321,0.256276,1037,0.029273547,0.002577548,0.0291980930274772,2298,,,,,,,vapendavir
CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(CCO)S(C)(=O)=O)c(C3CC3)cc12,nesbuvir,RNA polymerase inhibitor,Phase 2,0.2889867276900468,0.2829831151298931,0.2072083632571232,1723,0.002636,0.008808,0.002612,3474,0.204788,0.202905,0.163236,1895,0.06909563,0.7162674,0.019604682748538,2613,0.0103761459997258,2460.0,,False,,,nesbuvir
