2026-03-22 00:40:15 | INFO  | phase4 |   Test 1 (dmpnn, mtb_t20): U=14.0, p=0.3810, r_rb=-0.167 (small), narrow_mean=0.3127, broad_mean=0.2542
2026-03-22 00:40:15 | INFO  | phase4 | 
--- Test 2: Selectivity ROC-AUC ---
2026-03-22 00:40:15 | INFO  | phase4 |   Test 2 (rf, ecoli_t5): Selectivity AUC = 0.7500
2026-03-22 00:40:15 | INFO  | phase4 |   Test 2 (rf, ecoli_t10): Selectivity AUC = 0.7500
2026-03-22 00:40:15 | INFO  | phase4 |   Test 2 (rf, ecoli_t20): Selectivity AUC = 0.7500
2026-03-22 00:40:15 | INFO  | phase4 |   Test 2 (rf, saureus_t5): Selectivity AUC = 0.6250
2026-03-22 00:40:15 | INFO  | phase4 |   Test 2 (rf, saureus_t10): Selectivity AUC = 0.6250
2026-03-22 00:40:15 | INFO  | phase4 |   Test 2 (rf, saureus_t20): Selectivity AUC = 0.6250
2026-03-22 00:40:15 | INFO  | phase4 |   Test 2 (rf, paeruginosa_t5): Selectivity AUC = 0.7917
2026-03-22 00:40:15 | INFO  | phase4 |   Test 2 (rf, paeruginosa_t10): Selectivity AUC = 0.7917
2026-03-22 00:40:15 | INFO  | phase4 |   Test 2 (rf, paeruginosa_t20): Selectivity AUC = 0.7917
2026-03-22 00:40:15 | INFO  | phase4 |   Test 2 (rf, mtb_t5): Selectivity AUC = 0.7500
2026-03-22 00:40:15 | INFO  | phase4 |   Test 2 (rf, mtb_t10): Selectivity AUC = 0.7917
2026-03-22 00:40:15 | INFO  | phase4 |   Test 2 (rf, mtb_t20): Selectivity AUC = 0.7083
2026-03-22 00:40:15 | INFO  | phase4 |   Test 2 (dmpnn, ecoli_t5): Selectivity AUC = 0.0833
2026-03-22 00:40:15 | INFO  | phase4 |   Test 2 (dmpnn, ecoli_t10): Selectivity AUC = 0.2083
2026-03-22 00:40:15 | INFO  | phase4 |   Test 2 (dmpnn, ecoli_t20): Selectivity AUC = 0.1250
2026-03-22 00:40:15 | INFO  | phase4 |   Test 2 (dmpnn, saureus_t5): Selectivity AUC = 0.2083
2026-03-22 00:40:15 | INFO  | phase4 |   Test 2 (dmpnn, saureus_t10): Selectivity AUC = 0.2500
2026-03-22 00:40:15 | INFO  | phase4 |   Test 2 (dmpnn, saureus_t20): Selectivity AUC = 0.4167
2026-03-22 00:40:15 | INFO  | phase4 |   Test 2 (dmpnn, paeruginosa_t5): Selectivity AUC = 0.5417
2026-03-22 00:40:15 | INFO  | phase4 |   Test 2 (dmpnn, paeruginosa_t10): Selectivity AUC = 0.5833
2026-03-22 00:40:15 | INFO  | phase4 |   Test 2 (dmpnn, paeruginosa_t20): Selectivity AUC = 0.5000
2026-03-22 00:40:15 | INFO  | phase4 |   Test 2 (dmpnn, mtb_t5): Selectivity AUC = 0.5417
2026-03-22 00:40:15 | INFO  | phase4 |   Test 2 (dmpnn, mtb_t10): Selectivity AUC = 0.6250
2026-03-22 00:40:15 | INFO  | phase4 |   Test 2 (dmpnn, mtb_t20): Selectivity AUC = 0.5833
2026-03-22 00:40:15 | INFO  | phase4 | 
--- Test 3: Top-k Enrichment ---
2026-03-22 00:40:15 | INFO  | phase4 |   Test 3 (rf, ecoli_t10): 5/50 antibiotics in top-50 (enrichment = 2.92x)
2026-03-22 00:40:15 | INFO  | phase4 |   Test 3 (rf, saureus_t10): 9/50 antibiotics in top-50 (enrichment = 5.25x)
2026-03-22 00:40:15 | INFO  | phase4 |   Test 3 (rf, paeruginosa_t10): 2/50 antibiotics in top-50 (enrichment = 1.17x)
2026-03-22 00:40:15 | INFO  | phase4 |   Test 3 (rf, mtb_t10): 8/50 antibiotics in top-50 (enrichment = 4.67x)
2026-03-22 00:40:15 | INFO  | phase4 |   Test 3 (dmpnn, ecoli_t10): 1/50 antibiotics in top-50 (enrichment = 0.58x)
2026-03-22 00:40:15 | INFO  | phase4 |   Test 3 (dmpnn, saureus_t10): 0/50 antibiotics in top-50 (enrichment = 0.00x)
2026-03-22 00:40:15 | INFO  | phase4 |   Test 3 (dmpnn, paeruginosa_t10): 0/50 antibiotics in top-50 (enrichment = 0.00x)
2026-03-22 00:40:15 | INFO  | phase4 |   Test 3 (dmpnn, mtb_t10): 1/50 antibiotics in top-50 (enrichment = 0.58x)
2026-03-22 00:40:15 | INFO  | phase4 | 
--- Test 4: Pipeline Agreement ---
2026-03-22 00:40:15 | INFO  | phase4 |   Test 4 (ecoli_t5): rho=0.3015, n=6739 (low agreement)
2026-03-22 00:40:15 | INFO  | phase4 |   Test 4 (ecoli_t10): rho=0.3034, n=6739 (low agreement)
2026-03-22 00:40:15 | INFO  | phase4 |   Test 4 (ecoli_t20): rho=0.3197, n=6739 (low agreement)
2026-03-22 00:40:15 | INFO  | phase4 |   Test 4 (saureus_t5): rho=0.3738, n=6739 (low agreement)
2026-03-22 00:40:15 | INFO  | phase4 |   Test 4 (saureus_t10): rho=0.3938, n=6739 (low agreement)
2026-03-22 00:40:15 | INFO  | phase4 |   Test 4 (saureus_t20): rho=0.4170, n=6739 (low agreement)
2026-03-22 00:40:15 | INFO  | phase4 |   Test 4 (paeruginosa_t5): rho=0.1895, n=6739 (low agreement)
2026-03-22 00:40:15 | INFO  | phase4 |   Test 4 (paeruginosa_t10): rho=0.1835, n=6739 (low agreement)
2026-03-22 00:40:15 | INFO  | phase4 |   Test 4 (paeruginosa_t20): rho=0.1881, n=6739 (low agreement)
2026-03-22 00:40:15 | INFO  | phase4 |   Test 4 (mtb_t5): rho=0.5084, n=6739 (moderate agreement)
2026-03-22 00:40:15 | INFO  | phase4 |   Test 4 (mtb_t10): rho=0.5358, n=6739 (moderate agreement)
2026-03-22 00:40:15 | INFO  | phase4 |   Test 4 (mtb_t20): rho=0.5303, n=6739 (moderate agreement)
2026-03-22 00:40:15 | INFO  | phase4 | 
--- Test 5: Threshold Sensitivity ---
2026-03-22 00:40:15 | INFO  | phase4 |   Test 5 (rf, ecoli_t5 vs ecoli_t10): rho=0.9755, top-50 overlap=43/50
2026-03-22 00:40:15 | INFO  | phase4 |   Test 5 (rf, ecoli_t5 vs ecoli_t20): rho=0.9512, top-50 overlap=38/50
2026-03-22 00:40:15 | INFO  | phase4 |   Test 5 (rf, ecoli_t10 vs ecoli_t20): rho=0.9759, top-50 overlap=38/50
2026-03-22 00:40:15 | INFO  | phase4 |   Test 5 (rf, saureus_t5 vs saureus_t10): rho=0.9705, top-50 overlap=44/50
