  Generating Phase 2 figures...
2026-04-08 16:37:30 | INFO  | dataset_analysis |   Figure: data_study_sizes_comparison
2026-04-08 16:37:32 | INFO  | dataset_analysis |   Saved: /scratch/vishakha.agrawal/antibiotic-selectivity-v2/outputs/runs/current/results/figures/data_study_sizes_comparison.png
2026-04-08 16:37:32 | INFO  | dataset_analysis |   Figure: data_study_class_balance
2026-04-08 16:37:33 | INFO  | dataset_analysis |   Saved: /scratch/vishakha.agrawal/antibiotic-selectivity-v2/outputs/runs/current/results/figures/data_study_class_balance.png
2026-04-08 16:37:33 | INFO  | dataset_analysis |   Figure: data_stokes_training
2026-04-08 16:37:36 | INFO  | dataset_analysis |   Saved: /scratch/vishakha.agrawal/antibiotic-selectivity-v2/outputs/runs/current/results/figures/data_stokes_training.png
2026-04-08 16:37:36 | INFO  | dataset_analysis |   Figure: data_stokes_hub_predictions
2026-04-08 16:37:37 | INFO  | dataset_analysis |   Saved: /scratch/vishakha.agrawal/antibiotic-selectivity-v2/outputs/runs/current/results/figures/data_stokes_hub_predictions.png
2026-04-08 16:37:37 | INFO  | dataset_analysis |   Figure: data_stokes_model_comparison
2026-04-08 16:37:38 | INFO  | dataset_analysis |   Saved: /scratch/vishakha.agrawal/antibiotic-selectivity-v2/outputs/runs/current/results/figures/data_stokes_model_comparison.png
2026-04-08 16:37:38 | INFO  | dataset_analysis |   Figure: data_stokes_rdkit_features
2026-04-08 16:37:39 | INFO  | dataset_analysis |   Saved: /scratch/vishakha.agrawal/antibiotic-selectivity-v2/outputs/runs/current/results/figures/data_stokes_rdkit_features.png
2026-04-08 16:37:39 | INFO  | dataset_analysis |   Figure: data_wong_training
2026-04-08 16:39:30 | INFO  | dataset_analysis | Logging to file: /scratch/vishakha.agrawal/antibiotic-selectivity-v2/logs/dataset_analysis.log
2026-04-08 16:39:30 | INFO  | dataset_analysis | ============================================================
2026-04-08 16:39:30 | INFO  | dataset_analysis |  STARTING: Dataset Analysis Phase 2: Reference Studies
2026-04-08 16:39:30 | INFO  | dataset_analysis | ============================================================
2026-04-08 16:39:30 | INFO  | dataset_analysis | 
  Loading our pipeline data...
2026-04-08 16:39:30 | INFO  | dataset_analysis |   Loaded: ecoli (28284 compounds)
2026-04-08 16:39:30 | INFO  | dataset_analysis |   Loaded: saureus (43853 compounds)
2026-04-08 16:39:30 | INFO  | dataset_analysis |   Loaded: paeruginosa (17783 compounds)
2026-04-08 16:39:30 | INFO  | dataset_analysis |   Loaded: mtb (18705 compounds)
2026-04-08 16:39:30 | INFO  | dataset_analysis |   Loaded: maier (1177 compounds)
2026-04-08 16:39:30 | INFO  | dataset_analysis |   Loaded: hub (6739 compounds)
2026-04-08 16:39:30 | INFO  | dataset_analysis | 
  Loading reference data...
2026-04-08 16:39:31 | INFO  | dataset_analysis |   Loaded: Stokes S2B Hub predictions (4496 compounds)
2026-04-08 16:39:31 | INFO  | dataset_analysis |   Loaded: Stokes S2H training data (2335 compounds)
2026-04-08 16:39:32 | INFO  | dataset_analysis |   Loaded: Stokes S2C (dmpnn_learned, 4496 compounds)
2026-04-08 16:39:32 | INFO  | dataset_analysis |   Loaded: Stokes S2D (dmpnn_rdkit, 4496 compounds)
2026-04-08 16:39:32 | INFO  | dataset_analysis |   Loaded: Stokes S2E (ffn_morgan, 4496 compounds)
2026-04-08 16:39:33 | INFO  | dataset_analysis |   Loaded: Stokes S2F (rf_morgan, 4496 compounds)
2026-04-08 16:39:33 | INFO  | dataset_analysis |   Loaded: Stokes S2G (svm_morgan, 4496 compounds)
2026-04-08 16:39:33 | INFO  | dataset_analysis |   Loaded: Stokes S2A (200 RDKit features)
2026-04-08 16:39:33 | INFO  | dataset_analysis |   Loaded: Wong training data (39312 compounds)
2026-04-08 16:39:33 | INFO  | dataset_analysis |   Loaded: Wong broad800 predictions (99999 compounds)
2026-04-08 16:39:33 | INFO  | dataset_analysis |   Loaded: Wong mcule sample (9999 compounds, 1128 total files)
2026-04-08 16:39:33 | INFO  | dataset_analysis | 
  Generating Phase 2 figures...
2026-04-08 16:39:33 | INFO  | dataset_analysis |   Figure: data_study_sizes_comparison
2026-04-08 16:39:35 | INFO  | dataset_analysis |   Saved: /scratch/vishakha.agrawal/antibiotic-selectivity-v2/outputs/runs/current/results/figures/data_study_sizes_comparison.png
2026-04-08 16:39:35 | INFO  | dataset_analysis |   Figure: data_study_class_balance
2026-04-08 16:39:35 | INFO  | dataset_analysis |   Saved: /scratch/vishakha.agrawal/antibiotic-selectivity-v2/outputs/runs/current/results/figures/data_study_class_balance.png
2026-04-08 16:39:35 | INFO  | dataset_analysis |   Figure: data_stokes_training
2026-04-08 16:39:39 | INFO  | dataset_analysis |   Saved: /scratch/vishakha.agrawal/antibiotic-selectivity-v2/outputs/runs/current/results/figures/data_stokes_training.png
2026-04-08 16:39:39 | INFO  | dataset_analysis |   Figure: data_stokes_hub_predictions
2026-04-08 16:39:40 | INFO  | dataset_analysis |   Saved: /scratch/vishakha.agrawal/antibiotic-selectivity-v2/outputs/runs/current/results/figures/data_stokes_hub_predictions.png
2026-04-08 16:39:40 | INFO  | dataset_analysis |   Figure: data_stokes_model_comparison
2026-04-08 16:39:41 | INFO  | dataset_analysis |   Saved: /scratch/vishakha.agrawal/antibiotic-selectivity-v2/outputs/runs/current/results/figures/data_stokes_model_comparison.png
2026-04-08 16:39:41 | INFO  | dataset_analysis |   Figure: data_stokes_rdkit_features
2026-04-08 16:39:41 | INFO  | dataset_analysis |   Saved: /scratch/vishakha.agrawal/antibiotic-selectivity-v2/outputs/runs/current/results/figures/data_stokes_rdkit_features.png
2026-04-08 16:39:41 | INFO  | dataset_analysis |   Figure: data_wong_training
2026-04-08 16:40:51 | INFO  | dataset_analysis | Logging to file: /scratch/vishakha.agrawal/antibiotic-selectivity-v2/logs/dataset_analysis.log
2026-04-08 16:40:51 | INFO  | dataset_analysis | ============================================================
2026-04-08 16:40:51 | INFO  | dataset_analysis |  STARTING: Dataset Analysis Phase 2: Reference Studies
2026-04-08 16:40:51 | INFO  | dataset_analysis | ============================================================
2026-04-08 16:40:51 | INFO  | dataset_analysis | 
  Loading our pipeline data...
2026-04-08 16:40:51 | INFO  | dataset_analysis |   Loaded: ecoli (28284 compounds)
2026-04-08 16:40:55 | INFO  | dataset_analysis | Logging to file: /scratch/vishakha.agrawal/antibiotic-selectivity-v2/logs/dataset_analysis.log
2026-04-08 16:40:55 | INFO  | dataset_analysis | ============================================================
2026-04-08 16:40:55 | INFO  | dataset_analysis |  STARTING: Dataset Analysis Phase 2: Reference Studies
2026-04-08 16:40:55 | INFO  | dataset_analysis | ============================================================
2026-04-08 16:40:55 | INFO  | dataset_analysis | 
  Loading our pipeline data...
2026-04-08 16:40:55 | INFO  | dataset_analysis |   Loaded: ecoli (28284 compounds)
