2026-04-03 21:21:51 | ERROR | phase_dmpnn_rdkit |       RuntimeError: You set `--ntasks=30` in your SLURM bash script, but this variable is not supported. HINT: Use `--ntasks-per-node=30` instead.
2026-04-03 21:21:51 | INFO  | phase_dmpnn_rdkit |     Launched saureus_fold2 on GPU 0 (PID 918946)
2026-04-03 21:21:51 | INFO  | phase_dmpnn_rdkit |     CMD: /home2/vishakha.agrawal/antibiotic-selectivity/venv/bin/chemprop train --data-path /scratch/vishakha.agrawal/antibiotic-selectivity-v2/outputs/runs/run_20260315_034033/models/dmpnn_rdkit/saureus/fold_2/combined.csv --save-dir /scratch/vishakha.agrawal/antibiotic-selectivity-v2/outputs/runs/run_20260315_034033/models/dmpnn_rdkit/saureus/fold_2...
2026-04-03 21:21:51 | INFO  | phase_dmpnn_rdkit |     Log: /scratch/vishakha.agrawal/antibiotic-selectivity-v2/outputs/runs/run_20260315_034033/models/dmpnn_rdkit/train_saureus_fold2.log
2026-04-03 21:33:56 | ERROR | phase_dmpnn_rdkit |     saureus_fold0 FAILED (exit code 1)
2026-04-03 21:33:56 | ERROR | phase_dmpnn_rdkit |     Last lines of /scratch/vishakha.agrawal/antibiotic-selectivity-v2/outputs/runs/run_20260315_034033/models/dmpnn_rdkit/train_saureus_fold0.log:
2026-04-03 21:33:56 | ERROR | phase_dmpnn_rdkit |           self.cluster_environment: ClusterEnvironment = self._choose_and_init_cluster_environment()
2026-04-03 21:33:56 | ERROR | phase_dmpnn_rdkit |                                                          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-04-03 21:33:56 | ERROR | phase_dmpnn_rdkit |         File "/home2/vishakha.agrawal/antibiotic-selectivity/venv/lib/python3.12/site-packages/lightning/pytorch/trainer/connectors/accelerator_connector.py", line 409, in _choose_and_init_cluster_environment
2026-04-03 21:33:56 | ERROR | phase_dmpnn_rdkit |           return env_type()
2026-04-03 21:33:56 | ERROR | phase_dmpnn_rdkit |                  ^^^^^^^^^^
2026-04-03 21:33:56 | ERROR | phase_dmpnn_rdkit |         File "/home2/vishakha.agrawal/antibiotic-selectivity/venv/lib/python3.12/site-packages/lightning/fabric/plugins/environments/slurm.py", line 54, in __init__
2026-04-03 21:33:56 | ERROR | phase_dmpnn_rdkit |           self._validate_srun_variables()
2026-04-03 21:33:56 | ERROR | phase_dmpnn_rdkit |         File "/home2/vishakha.agrawal/antibiotic-selectivity/venv/lib/python3.12/site-packages/lightning/fabric/plugins/environments/slurm.py", line 221, in _validate_srun_variables
2026-04-03 21:33:56 | ERROR | phase_dmpnn_rdkit |           raise RuntimeError(
2026-04-03 21:33:56 | ERROR | phase_dmpnn_rdkit |       RuntimeError: You set `--ntasks=30` in your SLURM bash script, but this variable is not supported. HINT: Use `--ntasks-per-node=30` instead.
2026-04-03 21:33:56 | INFO  | phase_dmpnn_rdkit |     Launched saureus_fold3 on GPU 2 (PID 919076)
2026-04-03 21:33:56 | INFO  | phase_dmpnn_rdkit |     CMD: /home2/vishakha.agrawal/antibiotic-selectivity/venv/bin/chemprop train --data-path /scratch/vishakha.agrawal/antibiotic-selectivity-v2/outputs/runs/run_20260315_034033/models/dmpnn_rdkit/saureus/fold_3/combined.csv --save-dir /scratch/vishakha.agrawal/antibiotic-selectivity-v2/outputs/runs/run_20260315_034033/models/dmpnn_rdkit/saureus/fold_3...
2026-04-03 21:33:56 | INFO  | phase_dmpnn_rdkit |     Log: /scratch/vishakha.agrawal/antibiotic-selectivity-v2/outputs/runs/run_20260315_034033/models/dmpnn_rdkit/train_saureus_fold3.log
2026-04-03 21:55:47 | ERROR | phase_dmpnn_rdkit |     saureus_fold1 FAILED (exit code 1)
2026-04-03 21:55:47 | ERROR | phase_dmpnn_rdkit |     Last lines of /scratch/vishakha.agrawal/antibiotic-selectivity-v2/outputs/runs/run_20260315_034033/models/dmpnn_rdkit/train_saureus_fold1.log:
2026-04-03 21:55:47 | ERROR | phase_dmpnn_rdkit |           self.cluster_environment: ClusterEnvironment = self._choose_and_init_cluster_environment()
2026-04-03 21:55:47 | ERROR | phase_dmpnn_rdkit |                                                          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
