2026-03-21 22:26:47 | INFO  | phase3d |     Loading MoLFormer from ibm/MoLFormer-XL-both-10pct...
2026-03-21 22:26:47 | INFO  | phase3d |     transformers version: 4.57.6
2026-03-21 22:26:51 | INFO  | phase3d |     Encoder: 44.4M params
2026-03-21 22:26:51 | INFO  | phase3d |     Classifier: 769 params
2026-03-21 22:26:51 | INFO  | phase3d |     Device: cuda
2026-03-21 22:26:57 | INFO  | phase3d |     [10_train_molformer.py:molformer_paeruginosa:fold_3] SKIP (cached model), ROC-AUC=0.8345, PR-AUC=0.6599
2026-03-21 22:26:57 | INFO  | phase3d |     [10_train_molformer.py:molformer_paeruginosa:fold_4] Starting fold 4/5...
2026-03-21 22:26:57 | INFO  | phase3d |     Loading MoLFormer from ibm/MoLFormer-XL-both-10pct...
2026-03-21 22:26:57 | INFO  | phase3d |     transformers version: 4.57.6
2026-03-21 22:27:01 | INFO  | phase3d |     Encoder: 44.4M params
2026-03-21 22:27:01 | INFO  | phase3d |     Classifier: 769 params
2026-03-21 22:27:01 | INFO  | phase3d |     Device: cuda
2026-03-21 22:27:07 | INFO  | phase3d |     [10_train_molformer.py:molformer_paeruginosa:fold_4] SKIP (cached model), ROC-AUC=0.8456, PR-AUC=0.6995
2026-03-21 22:27:07 | INFO  | phase3d |   molformer_paeruginosa CV: ROC-AUC = 0.8275 +/- 0.0110
2026-03-21 22:27:07 | INFO  | phase3d |   molformer_paeruginosa: 50s
2026-03-21 22:27:07 | INFO  | phase3d |     Training final molformer_paeruginosa on all 17783 samples...
2026-03-21 22:27:07 | INFO  | phase3d |     Loading MoLFormer from ibm/MoLFormer-XL-both-10pct...
2026-03-21 22:27:07 | INFO  | phase3d |     transformers version: 4.57.6
2026-03-21 22:27:11 | INFO  | phase3d |     Encoder: 44.4M params
2026-03-21 22:27:11 | INFO  | phase3d |     Classifier: 769 params
2026-03-21 22:27:11 | INFO  | phase3d |     Device: cuda
2026-03-21 22:27:11 | INFO  | phase3d |     Tokenizing 17783 training SMILES...
2026-03-21 22:27:14 | INFO  | phase3d |     Tokenized in 3.2s, input shape: torch.Size([17783, 202])
2026-03-21 22:27:14 | INFO  | phase3d |     Training: 20 epochs, 556 batches/epoch, batch_size=32, 17783 compounds
2026-03-21 22:27:14 | INFO  | phase3d |     LR: encoder=1e-05, classifier=0.0001, warmup=1112/11120 steps
2026-03-21 22:29:35 | INFO  | phase3d |     Epoch 1/20: train_loss=0.5542, 141s
2026-03-21 22:31:59 | INFO  | phase3d |     Epoch 2/20: train_loss=0.4345, 144s
2026-03-21 22:34:23 | INFO  | phase3d |     Epoch 3/20: train_loss=0.3954, 144s
2026-03-21 22:36:47 | INFO  | phase3d |     Epoch 4/20: train_loss=0.3547, 144s
2026-03-21 22:39:11 | INFO  | phase3d |     Epoch 5/20: train_loss=0.3289, 144s
2026-03-21 22:41:35 | INFO  | phase3d |     Epoch 6/20: train_loss=0.3072, 144s
2026-03-21 22:43:59 | INFO  | phase3d |     Epoch 7/20: train_loss=0.2871, 144s
2026-03-21 22:46:23 | INFO  | phase3d |     Epoch 8/20: train_loss=0.2723, 144s
