smiles,median_value_nM,activity_label,molecule_chembl_id,n_measurements,source_type
C#CCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOc1ccc(Br)c(-c2cc3cnc(N)nc3nc2N)c1Br,15000.0,0,CHEMBL5274625,3,MIC
C#CCCCCOCCOCCOCCOCCOCCOCCOc1ccc(Br)c(-c2cc3cnc(N)nc3nc2N)c1Br,6250.0,1,CHEMBL5268872,3,MIC
C#CCCCCOCCOCCOCCOc1ccc(Br)c(-c2cc3cnc(N)nc3nc2N)c1Br,3125.0,1,CHEMBL5278285,3,MIC
C#CCCCCOc1ccc(-c2nc3ccc(-c4nc5ccc(N6CCN(C)CC6)cc5[nH]4)cc3[nH]2)cc1,15864.713350901595,0,CHEMBL3581010,3,MIC
C#CCCCCOc1ccc(Br)c(-c2cc3cnc(N)nc3nc2N)c1Br,1170.0,1,CHEMBL5283178,4,MIC
C#CCCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)CO,15000.0,0,CHEMBL450424,1,MIC
C#CCCCOC(=O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,411.0258101135012,1,CHEMBL3963152,1,MIC
C#CCCC[C@H]1OC(=O)[C@H]([C@@H](C)CC)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)OC(=O)[C@H](C(C)C)N(C)C(=O)[C@H](C(C)C)NC(=O)[C@H]1C,35000.0,0,CHEMBL4171771,1,MIC
C#CCCN1CCN(C(=O)c2cc(-c3ccc(Cl)cc3)n(-c3ccc(F)cc3)n2)CC1,114640348.05139977,0,CHEMBL1087667,1,MIC
C#CCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)CO,7500.0,1,CHEMBL442665,1,MIC
C#CCCOC(=O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,430.8836661534163,1,CHEMBL3964702,1,MIC
C#CCN1C(=O)/C(=N\c2ccc(N3C(=O)c4ccc(Cl)cc4C3=O)c(C)c2)c2cc(OC(F)(F)F)ccc21,37239.07153034713,0,CHEMBL2283067,1,MIC
C#CCN1C(=O)/C(=N\c2ccc(N3C(=O)c4ccc(Cl)cc4C3=O)c(C)c2)c2cc([N+](=O)[O-])ccc21,30116.0614426236,0,CHEMBL2283065,1,MIC
