smiles,median_value_nM,activity_label,molecule_chembl_id,n_measurements,source_type
Brc1ccc2[nH]cc(-c3nc(-c4ccc(-c5ccccc5)cc4)c(-c4ccccc4)[nH]3)c2c1,8178.553196206034,1,CHEMBL1085059,2,MIC
Brc1ccc2[nH]cc(-c3nc(-c4ccccc4)c(-c4ccccc4)[nH]3)c2c1,9683.99292080118,1,CHEMBL1082478,2,MIC
Brc1ccc2[nH]cc(C(c3c[nH]c4ccc(Br)cc34)C3CCCCC3)c2c1,49585.24290272355,0,CHEMBL2430209,2,MIC
Brc1ccc2[nH]cc(C(c3ccc4ccccc4c3)c3c[nH]c4ccc(Br)cc34)c2c1,45455.95107858976,0,CHEMBL2430210,2,MIC
Brc1ccc2[nH]cc(C(c3ccccc3)c3c[nH]c4ccc(Br)cc34)c2c1,535600.6842203605,0,CHEMBL2430238,2,MIC
Brc1ccc2[nH]cc(C3Nc4ccc(I)cc4[C@H]4OCO[C@@H]34)c2c1,625.0903132148079,1,CHEMBL5268618,1,MIC
Brc1ccc2[nH]cc([C@H]3Nc4c(I)cccc4[C@H]4OCC[C@@H]34)c2c1,789.5550799359902,1,CHEMBL279071,1,MIC
Brc1ccc2[nH]cc([C@H]3Nc4ccc(C#CCN5CCCCC5)cc4[C@H]4OCC[C@@H]34)c2c1,3189.2606986528926,1,CHEMBL283303,1,MIC
Brc1ccc2[nH]cc([C@H]3Nc4ccc(CCCN5CCCCC5)cc4[C@H]4OCC[C@@H]34)c2c1,25346.081749708148,0,CHEMBL279681,1,MIC
Brc1ccc2c(C(C3=NC[C@H](c4c[nH]c5cc(Br)ccc45)N3)c3c[nH]c4cc(Br)ccc34)c[nH]c2c1,1810.1543815636203,1,CHEMBL4163765,1,MIC
Brc1ccc2c(c1)Sc1cccnc1N2C/C=C/CN1c2ccc(Br)cc2Sc2cccnc21,25000000.0,0,CHEMBL2298237,1,MIC
Brc1ccc2c(c1)Sc1cccnc1N2CCCCCCN1c2ccc(Br)cc2Sc2cccnc21,25000000.0,0,CHEMBL2298245,1,MIC
Brc1ccc2c(c1)Sc1cccnc1N2CCCCN1c2ccc(Br)cc2Sc2cccnc21,12500000.0,0,CHEMBL2298235,1,MIC
Brc1ccc2c(c1)[nH]c1cc(Br)ccc12,111491.51623339116,0,CHEMBL5076872,4,MIC
Brc1ccc2c(c1)[nH]c1ccccc12,326551.92294874915,0,CHEMBL5070637,4,MIC
Brc1ccc2c3c(ccc2c1)OCc1[se]nnc1-3,136652.8324258256,0,CHEMBL457785,1,MIC
Brc1ccc2cc(-c3cc4ccc(Br)cc4[nH]3)[nH]c2c1,1288.9219880526637,1,CHEMBL3113884,1,MIC
Brc1ccc2oc(C3=Nc4ccccc4SC(c4cccc5ccccc45)C3)cc2c1,10351.340064789087,0,CHEMBL4128803,1,MIC
Brc1cccc(-c2cc(-c3ccc(-n4cccc4)cc3)on2)c1,68677.3329175879,0,CHEMBL3746102,1,MIC
Brc1cccc(-c2nc3ccccc3s2)c1,43259.168999252055,0,CHEMBL3741446,1,MIC
Brc1cccc(-n2cc(COc3ccc4c(c3)CCC4)nn2)c1,270967.70141717646,0,CHEMBL4759852,1,MIC
Brc1cccc(Br)c1C(c1c[nH]c2cc(C3=NCCN3)ccc12)c1c[nH]c2cc(C3=NCCN3)ccc12,3100.0,1,CHEMBL3885423,6,MIC
Brc1cccc(C(c2c[nH]c3ccccc23)c2c[nH]c3ccccc23)c1,12500.0,0,CHEMBL2376557,2,MIC
Brc1cccc(CNC2CCCCC2NCc2cccc(Br)c2)c1,16.460658078195024,1,CHEMBL1668191,1,MIC
Brc1cccc(CNCCCNc2nc3ccccc3o2)c1,44560.38508352395,0,CHEMBL2016792,1,MIC
Brc1cccc(CNCCCNc2nc3ccccc3s2)c1,42662.061362443994,0,CHEMBL2016813,1,MIC
Brc1cccc(CNCCNc2nc3ccccc3o2)c1,23185.201922621956,0,CHEMBL2016791,1,MIC
Brc1cccc(CNCCNc2nc3ccccc3s2)c1,22159.140650903722,0,CHEMBL2016812,1,MIC
Brc1cccc(CN[C@H]2CCCC[C@@H]2NCc2cccc(Br)c2)c1,16.460658078195024,1,CHEMBL1668206,2,MIC
