smiles,median_value_nM,activity_label,molecule_chembl_id,n_measurements,source_type
C#Cc1ccc(-c2noc(NC3CCCCC3)n2)cc1,119788.64992342271,0,CHEMBL4850158,2,MIC
C#Cc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c2ncnc(N)c12,8000.0,1,CHEMBL1814776,2,MIC
C#Cc1nc(-c2ccco2)c2ncn(Cc3ccc(OC)cc3)c2n1,18932.986805068635,0,CHEMBL245629,1,MIC
C#Cc1nnc2c3ccccc3cnn12,2576.532733231921,1,CHEMBL5220056,2,MIC
C(#Cc1nc(-c2ccccc2)nc2c1ncn2Cc1ccccc1)c1ccccc1,16185.28828631445,0,CHEMBL19897,1,MIC
C(=C(c1ccccc1)c1ccccc1)[C@@H]1CCCN2CCCC[C@H]12,3900.0,1,CHEMBL1782728,1,MIC
C(=C/C1CC(c2ccc3[nH]c4c(c3c2)CCCC4)=NN1)\c1ccccc1,73273.12870949713,0,CHEMBL1819589,1,MIC
C(=C/c1ccc(OCc2ccccc2)cc1)\C1=N[C@@H](Cc2ccccc2)CO1,16200.0,0,CHEMBL4089679,2,MIC
C(=C/c1ccc(OCc2ccccc2)cc1)\CCSc1nc2ccccc2s1,7739.890917896764,1,CHEMBL2441291,1,MIC
C(=C/c1ccc(OCc2ccccc2)cc1)\CCn1cnc2ccccc21,4404.624464281272,1,CHEMBL2441335,1,MIC
C(=C/c1ccccc1)\C1=N[C@@H](Cc2ccccc2)CO1,45600.0,0,CHEMBL4061544,2,MIC
C(=C/c1ccccc1)\C=N\Nc1ncnc2sc3c(c12)CCCC3,35000.0,0,CHEMBL1090564,1,MIC
C(=C/c1cccs1)\C1=N[C@@H](Cc2ccccc2)CO1,18550.0,0,CHEMBL4061556,2,MIC
C(=C/c1cncnc1-c1ccc(-c2ccccc2)s1)\c1ccc(-c2ccccc2)cc1,30038.34914523308,0,CHEMBL3298053,1,MIC
C(=C/c1cncnc1-c1ccc(-c2ccccc2)s1)\c1ccccc1,36753.52637716998,0,CHEMBL3297975,1,MIC
C(=C/c1cncnc1-c1ccc(-c2cccs2)s1)\c1ccc(-c2ccccc2)cc1,3553.7348591421483,1,CHEMBL3298054,2,MIC
C(=C/c1cncnc1-c1ccco1)\c1ccc(-c2ccccc2)cc1,38565.218008604854,0,CHEMBL3298055,1,MIC
C(=C/c1cncnc1-c1ccco1)\c1ccccc1,25191.96651283578,0,CHEMBL3297977,1,MIC
C(=C/c1cncnc1-c1cccs1)\c1ccc(-c2ccccc2)cc1,36753.52637716998,0,CHEMBL3298052,1,MIC
C(=C/c1cncnc1-c1cccs1)\c1ccccc1,47335.55374629742,0,CHEMBL3297974,1,MIC
C(=C/c1nc(-c2ccccc2)nc2c1ncn2Cc1ccccc1)\c1ccccc1,32202.48538316411,0,CHEMBL277710,1,MIC
