smiles,median_value_nM,activity_label,molecule_chembl_id,n_measurements,source_type
C#CCNC(=N)NCCCCCCCCNCCCCCCCCNC(=N)N,348139.8924167224,0,CHEMBL3353614,1,MIC
C#CCNC(=O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,227.18859373853894,1,CHEMBL3965404,1,MIC
C#CCO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=CCO[C@H]12)c1csc(N)n1,1022864.4623240848,0,CHEMBL13445,1,MIC
C#CCO/N=C/c1cn(C2CCN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4C3CC3)CC2)nn1,66781.90295788132,0,CHEMBL1088532,2,MIC
C#CCOC(=O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,452.7577121311595,1,CHEMBL3970785,1,MIC
C#CCOC(=O)c1cn(C2CC2)c2cc(N3CCN(CC#C)CC3)c(F)cc2c1=O,11505.0,0,CHEMBL3884193,2,MIC
C#CCOCCCCCCCCCCCCOc1ccc(-c2nc3ccc(-c4nc5ccc(N6CCN(C)CC6)cc5[nH]4)cc3[nH]2)cc1,24752.493442751824,0,CHEMBL3953305,1,MIC
C#CCOCCCCCCCCCCOc1ccc(-c2nc3ccc(-c4nc5ccc(N6CCN(C)CC6)cc5[nH]4)cc3[nH]2)cc1,25874.550729788658,0,CHEMBL3973119,1,MIC
C#CCOCCCCCCCCOc1ccc(-c2nc3ccc(-c4nc5ccc(N6CCN(C)CC6)cc5[nH]4)cc3[nH]2)cc1,27103.166570979636,0,CHEMBL3902093,1,MIC
C#CCOCCCCCCOc1ccc(-c2nc3ccc(-c4nc5ccc(N6CCN(C)CC6)cc5[nH]4)cc3[nH]2)cc1,28454.277005461438,0,CHEMBL3981132,1,MIC
C#CCOCCCCCCOc1ccc(-c2nc3ccc(N4CCN(C)CC4)cc3[nH]2)cc1,35852.88140340137,0,CHEMBL4094451,1,MIC
C#CCOCCCCCN(CC[N+]12CC[N+](CCCCCCCCCCCC)(CC1)CC2)CC[N+]12CC[N+](CCCCCCCCCCCC)(CC1)CC2,7018.489247766348,1,CHEMBL4761569,1,MIC
C#CCOCCCCOc1ccc(-c2nc3ccc(-c4nc5ccc(N6CCN(C)CC6)cc5[nH]4)cc3[nH]2)cc1,29947.16248085567,0,CHEMBL3581012,2,MIC
C#CCOCCOCCOCCOCCOCCOCCOc1ccc(-c2nc3ccc(-c4nc5ccc(N6CCN(C)CC6)cc5[nH]4)cc3[nH]2)cc1,22027.21716726418,0,CHEMBL3982047,1,MIC
C#CCOCNC1=CC(=O)c2ccccc2C1=O,66369.69182693551,0,CHEMBL2377047,1,MIC
C#CCOc1c(OC)cc(/C=C(\C#N)n2cc([N+](=O)[O-])nc2C)c2c1CN1CCc3cc4c(cc3C1C2)OCO4,3000.0,1,CHEMBL4593616,2,MIC
C#CCOc1c(OC)cc(/C=N/NC(N)=S)c2c1CN1CCc3cc4c(cc3C1C2)OCO4,550000.0,0,CHEMBL4168728,2,MIC
C#CCOc1c(OC)cc(/C=N/Nc2nccs2)c2c1CN1CCc3cc4c(cc3C1C2)OCO4,130000.0,0,CHEMBL4165703,1,MIC
C#CCOc1ccc(-c2nc3ccc(-c4nc5ccc(N6CCN(C)CC6)cc5[nH]4)cc3[nH]2)cc1,34615.78997736896,0,CHEMBL3581009,2,MIC
C#CCOc1ccc(-c2nc3ccc(N4CCN(C)CC4)cc3[nH]2)cc1,46218.81541061919,0,CHEMBL2430548,1,MIC
C#CCOc1ccc2ccccc2c1/C=C/C(=O)c1ccc(Br)cc1,63700.0,0,CHEMBL4166761,1,MIC
C#CCOc1ccc2ccccc2c1/C=C/C(=O)c1ccc(OC)cc1,73100.0,0,CHEMBL4160384,1,MIC
C#CCOc1ccc2ccccc2c1/C=C/C(=O)c1ccc([N+](=O)[O-])cc1,70000.0,0,CHEMBL4177393,1,MIC
C#CCSc1nnc(CS(=O)(=O)c2ccc(NC(C)=O)cc2)o1,455795.3335360484,0,CHEMBL4867471,2,MIC
C#CC[n+]1ccc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)/C(=N\OC4CCCC4)c4csc(N)n4)[C@H]3CO2)cc1,9189.785784413853,1,CHEMBL303149,1,MIC
C#CCn1c(=O)oc2ccc(Cl)cc21,181151.80131463165,0,CHEMBL2235936,1,MIC
C#CCn1c(CCCC)nc(Cl)c1C(Nc1ncccn1)P(=O)(OCC)OCC,582939.0092050262,0,CHEMBL4277853,2,MIC
